k=7 : a=56, b=120, c=64, length = 480, b == a+c - True, <lcm - True
k=7 : a=57, b=120, c=63, length = 480, b == a+c - True, <lcm - True
k=7 : a=63, b=120, c=57, length = 480, b == a+c - True, <lcm - True
k=7 : a=64, b=120, c=56, length = 480, b == a+c - True, <lcm - True
k=7 : a=70, b=120, c=50, length = 480, b == a+c - True, <lcm - True
k=7 : a=71, b=120, c=49, length = 480, b == a+c - True, <lcm - True
k=7 : a=77, b=120, c=43, length = 480, b == a+c - True, <lcm - True
k=7 : a=78, b=120, c=42, length = 480, b == a+c - True, <lcm - True
k=7 : a=84, b=120, c=36, length = 480, b == a+c - True, <lcm - True
k=7 : a=85, b=120, c=35, length = 480, b == a+c - True, <lcm - True
k=7 : a=91, b=120, c=29, length = 480, b == a+c - True, <lcm - True
k=7 : a=92, b=120, c=28, length = 480, b == a+c - True, <lcm - True
k=7 : a=98, b=120, c=22, length = 480, b == a+c - True, <lcm - True
k=7 : a=99, b=120, c=21, length = 480, b == a+c - True, <lcm - True
k=7 : a=105, b=120, c=15, length = 480, b == a+c - True, <lcm - True
k=7 : a=106, b=120, c=14, length = 480, b == a+c - True, <lcm - True
k=7 : a=112, b=120, c=8, length = 480, b == a+c - True, <lcm - True
k=7 : a=113, b=120, c=7, length = 480, b == a+c - True, <lcm - True
k=7 : a=60, b=123, c=63, length = 492, b == a+c - True, <lcm - True
k=7 : a=63, b=123, c=60, length = 492, b == a+c - True, <lcm - True
k=7 : a=40, b=124, c=84, length = 496, b == a+c - True, <lcm - True
k=7 : a=84, b=124, c=40, length = 496, b == a+c - True, <lcm - True
k=7 : a=6, b=126, c=120, length = 504, b == a+c - True, <lcm - True
k=7 : a=30, b=126, c=96, length = 504, b == a+c - True, <lcm - True
k=7 : a=36, b=126, c=90, length = 504, b == a+c - True, <lcm - True
k=7 : a=60, b=126, c=66, length = 504, b == a+c - True, <lcm - True
k=7 : a=66, b=126, c=60, length = 504, b == a+c - True, <lcm - True
k=7 : a=90, b=126, c=36, length = 504, b == a+c - True, <lcm - True
k=7 : a=96, b=126, c=30, length = 504, b == a+c - True, <lcm - True
k=7 : a=120, b=126, c=6, length = 504, b == a+c - True, <lcm - True
k=7 : a=7, b=127, c=120, length = 508, b == a+c - True, <lcm - True
k=7 : a=120, b=127, c=7, length = 508, b == a+c - True, <lcm - True
k=7 : a=46, b=130, c=84, length = 520, b == a+c - True, <lcm - True
k=7 : a=60, b=130, c=70, length = 520, b == a+c - True, <lcm - True
k=7 : a=70, b=130, c=60, length = 520, b == a+c - True, <lcm - True
k=7 : a=84, b=130, c=46, length = 520, b == a+c - True, <lcm - True
k=7 : a=20, b=132, c=112, length = 528, b == a+c - True, <lcm - True
k=7 : a=42, b=132, c=90, length = 528, b == a+c - True, <lcm - True
k=7 : a=62, b=132, c=70, length = 528, b == a+c - True, <lcm - True
k=7 : a=70, b=132, c=62, length = 528, b == a+c - True, <lcm - True
k=7 : a=90, b=132, c=42, length = 528, b == a+c - True, <lcm - True
k=7 : a=112, b=132, c=20, length = 528, b == a+c - True, <lcm - True
k=7 : a=13, b=133, c=120, length = 532, b == a+c - True, <lcm - True
k=7 : a=60, b=133, c=73, length = 532, b == a+c - True, <lcm - True
k=7 : a=73, b=133, c=60, length = 532, b == a+c - True, <lcm - True
k=7 : a=120, b=133, c=13, length = 532, b == a+c - True, <lcm - True
k=7 : a=14, b=134, c=120, length = 536, b == a+c - True, <lcm - True
k=7 : a=50, b=134, c=84, length = 536, b == a+c - True, <lcm - True
k=7 : a=84, b=134, c=50, length = 536, b == a+c - True, <lcm - True
k=7 : a=120, b=134, c=14, length = 536, b == a+c - True, <lcm - True
k=7 : a=60, b=137, c=77, length = 548, b == a+c - True, <lcm - True
k=7 : a=77, b=137, c=60, length = 548, b == a+c - True, <lcm - True
k=7 : a=8, b=140, c=132, length = 560, b == a+c - True, <lcm - True
k=7 : a=12, b=140, c=128, length = 560, b == a+c - True, <lcm - True
k=7 : a=20, b=140, c=120, length = 560, b == a+c - True, <lcm - True
k=7 : a=24, b=140, c=116, length = 560, b == a+c - True, <lcm - True
k=7 : a=32, b=140, c=108, length = 560, b == a+c - True, <lcm - True
k=7 : a=36, b=140, c=104, length = 560, b == a+c - True, <lcm - True
k=7 : a=44, b=140, c=96, length = 560, b == a+c - True, <lcm - True
k=7 : a=48, b=140, c=92, length = 560, b == a+c - True, <lcm - True
k=7 : a=56, b=140, c=84, length = 560, b == a+c - True, <lcm - True
k=7 : a=60, b=140, c=80, length = 560, b == a+c - True, <lcm - True
k=7 : a=68, b=140, c=72, length = 560, b == a+c - True, <lcm - True
k=7 : a=72, b=140, c=68, length = 560, b == a+c - True, <lcm - True
k=7 : a=80, b=140, c=60, length = 560, b == a+c - True, <lcm - True
k=7 : a=84, b=140, c=56, length = 560, b == a+c - True, <lcm - True
k=7 : a=92, b=140, c=48, length = 560, b == a+c - True, <lcm - True
k=7 : a=96, b=140, c=44, length = 560, b == a+c - True, <lcm - True
k=7 : a=104, b=140, c=36, length = 560, b == a+c - True, <lcm - True
k=7 : a=108, b=140, c=32, length = 560, b == a+c - True, <lcm - True
k=7 : a=116, b=140, c=24, length = 560, b == a+c - True, <lcm - True
k=7 : a=120, b=140, c=20, length = 560, b == a+c - True, <lcm - True
k=7 : a=128, b=140, c=12, length = 560, b == a+c - True, <lcm - True
k=7 : a=132, b=140, c=8, length = 560, b == a+c - True, <lcm - True
k=7 : a=21, b=141, c=120, length = 564, b == a+c - True, <lcm - True
k=7 : a=120, b=141, c=21, length = 564, b == a+c - True, <lcm - True
k=7 : a=70, b=142, c=72, length = 568, b == a+c - True, <lcm - True
k=7 : a=72, b=142, c=70, length = 568, b == a+c - True, <lcm - True
k=7 : a=4, b=144, c=140, length = 576, b == a+c - True, <lcm - True
k=7 : a=14, b=144, c=130, length = 576, b == a+c - True, <lcm - True
k=7 : a=60, b=144, c=84, length = 576, b == a+c - True, <lcm - True
k=7 : a=70, b=144, c=74, length = 576, b == a+c - True, <lcm - True
k=7 : a=74, b=144, c=70, length = 576, b == a+c - True, <lcm - True
k=7 : a=84, b=144, c=60, length = 576, b == a+c - True, <lcm - True
